R4 & DRAQ5+ & R3 & R2 & R1
Object Number	Diameter_Threshold(Morphology(M11, Ch11), Ch11, 80)
46411	8.43777439856816
46558	6.17049574125549
46786	9.42809041582063
47088	9.66531215343584
47098	9.14613605141061
47438	7.52443530644134
47550	8.19956327699682
47570	6.55965062159746
47612	10.5945011040977
47732	10.0106100825601
47998	9.11513211117122
48430	9.32999637040456
48643	8.17362890541091
48653	9.30721246247533
48747	10.7074591537237
48893	10.2481593465814
49056	10.5945011040977
49196	6.69843809365666
49215	10.1997044210118
49253	7.19754617303364
49604	9.74552358814431
49611	10.5342094290179
49652	7.89169432687956
50203	7.85574109057158
51146	9.85385063097711
51284	9.02148100943964
51410	6.96772460196325
51727	7.34355589367181
51929	8.06028243092275
52122	10.2274210602095
52209	8.20818985831693
52601	10.5476373623581
52982	8.74260378943872
53385	6.84475509630398
53532	8.57092304646152
53824	10.6345056558798
53867	8.51292676765464
53964	8.64491799953497
54078	11.355417474297
54365	7.8737382300594
54415	7.67344849126218
54427	10.1579876636958
55308	8.99004718212713
55381	7.75601038539611
55457	8.37885654992481
55523	7.91855212769413
55594	7.17785380734012
55777	9.29199215390607
56225	8.93477188404704
56323	9.87537344649376
56345	9.796225279361
56736	8.95059965886988
57005	8.34500244562036
57300	12.3467248121966
57657	6.60266518492587
57661	9.46554821298794
57862	7.8286678069764
57878	10.3921686448819
57927	7.86474480824374
58056	8.42938277600622
58081	9.20783075455502
58120	7.69187216361907
58329	9.78899825862123
58435	9.44309136471172
58440	7.27578266900322
58515	7.69187216361907
58708	9.5474380833877
58815	9.88969596808305
59349	6.95756015511917
59418	9.91114094296032
59542	7.21718480755171
59595	10.6876121317419
59629	10.3921686448819
59778	7.02840259440339
59995	10.3238433239102
60016	7.36280509024149
61025	10.1300810514521
61265	7.70106747134187
61337	10.1091005365899
61366	7.99858444659601
61607	9.47302199876582
62073	10.1579876636958
62571	11.0329879164153
62737	10.7995963333122
63020	6.99812936283048
63135	8.00742754984581
63205	7.0685652218696
63397	9.07622825410393
63850	12.4039123567982
63934	8.20818985831693
64014	7.41070933719548
64070	7.8286678069764
64319	9.67994548831545
64338	6.64540132806442
64695	9.29960542200334
64709	11.7956173563793
64801	8.6367276443096
65153	10.6478071065522
65160	4.96270592581881
